术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rFEED1,饲养员,feeder_name,饲养员|喂牛员,负责牛只日常饲喂工作的人员，负责管理栏舍的喂养事务。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rINVST1,投资方ID,investor_id,投资人ID|投资方编号,投资牛只采购的资金方标识，用于追踪投资来源和收益分配。,待确认,牧场业务系统,栏舍/批次/牛只维度表,dbt,dbt,2026年3月27日
rFMEAT1,料肉比,feed_meat_ratio,饲料转化率,指每增长1公斤体重所需消耗的饲料重量，是衡量养殖效率的关键指标。,待确认,牧场业务系统,配方/生长阶段维度表,dbt,dbt,2026年3月27日
rDAYAGE,日龄,day_age,天数|出生天数,牛只从出生到当前的天数，用于评估生长阶段和饲喂方案。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rSTALL1,栏舍类型,stall_type,牛舍类型,栏舍的功能分类，如育肥舍、产房、犊牛舍等。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rRCIP1,配方ID,recipe_id,饲料配方ID|配方编号,饲料配方的唯一标识，用于标识不同的饲喂方案。,待确认,牧场业务系统,配方/栏舍维度表,dbt,dbt,2026年3月27日
rRCIP2,配方名称,recipe_name,饲料配方名称|配方名,饲料配方的名称，描述该配方的用途或适用对象。,待确认,牧场业务系统,配方/栏舍维度表,dbt,dbt,2026年3月27日
rRCIP3,配方总重量,recipe_total_weight,配方重量,每日饲喂的总饲料重量，包含早中晚三餐的总和。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rSTAGE1,生长阶段ID,stage_id,阶段ID|生长阶段编号,牛只生长阶段的唯一标识，用于区分不同体重阶段。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rSTAGE2,生长阶段名称,stage_name,阶段名称|生长阶段名,描述生长阶段的名称，如"育肥前期"、"育肥后期"等。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rFEED2,早饲喂量,morning_feed_weight,早餐饲喂量|早班饲喂量,早晨每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rFEED3,午饲喂量,noon_feed_weight,午餐饲喂量|中班饲喂量,中午每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rFEED4,晚饲喂量,night_feed_weight,晚餐饲喂量|晚班饲喂量,晚间每头牛或每个栏舍的饲料投喂重量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL1,实际存栏数,real_cattle_count,实际牛只数量|存栏头数,栏舍或牧场当前实际存活的牛只数量。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL2,牛只总重量,total_cattle_weight,存栏总重|栏舍牛只总重,栏舍内所有牛只的总重量，用于评估库存价值。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rCATTL3,牛只ID,cattle_id,牛ID|牛只标识,牛只的唯一标识符，通常映射自采购单ID。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rCATTL4,牛只编号,cattle_no,牛号|牛只编号,牛只的耳标号或识别码，用于个体追踪管理。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rCATTL5,牛只数量,cattle_quantity,牛数量|采购数量,采购批次中牛只的数量。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
rCOST1,采购成本,purchase_cost,采购金额|购买成本,采购牛只所支付的总成本，包含牛价、运费等。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
rCOST2,附加成本,additional_cost,额外费用|附加费用,除采购成本外的其他费用，如检疫费、保险费等。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rPURCH1,采购日期,purchase_date,购买日期|进货日期,牛只采购的入库日期，用于计算饲养天数和成本分摊。,待确认,牧场业务系统,牛只/批次维度表,dbt,dbt,2026年3月27日
rPURCH2,采购状态,purchase_status,购买状态|采购单状态,采购单的当前状态，如待审核、已完成、已取消等。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rWORK1,工单号,work_order_no,工作单号|作业单号,关联业务流程的工单编号，用于追溯业务操作。,待确认,牧场业务系统,牛只维度表,dbt,dbt,2026年3月27日
rWEIGT1,起始体重,start_weight,开始体重|阶段起始体重,生长阶段或配方适用的起始体重标准。,待确认,牧场业务系统,生长阶段/配方维度表,dbt,dbt,2026年3月27日
rWEIGT2,结束体重,end_weight,终止体重|阶段结束体重,生长阶段或配方适用的结束体重标准。,待确认,牧场业务系统,生长阶段/配方维度表,dbt,dbt,2026年3月27日
rWEIGT3,计划增重,plan_weight_add,计划增重|目标增重,生长阶段内预期的体重增长量。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rWEIGT4,测量最大体重,measure_max_weight,最大体重|测量上限,生长阶段允许的体重测量上限值。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rWEIGT5,测量最小体重,measure_min_weight,最小体重|测量下限,生长阶段允许的体重测量下限值。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rWEIGT6,测量正常体重,measure_normal_weight,正常体重|标准体重,生长阶段的理想或标准体重值。,待确认,牧场业务系统,生长阶段维度表,dbt,dbt,2026年3月27日
rWEIGT7,体重起始,weight_begin,体重开始|适用体重起始,配方适用的最小体重值。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rWEIGT8,体重结束,weight_end,体重终止|适用体重结束,配方适用的最大体重值。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rWEIGT9,单位重量,unit_weight,单重,单头牛或单个SKU的单位重量标准。,待确认,牧场业务系统,栏舍/商品维度表,dbt,dbt,2026年3月27日
rDRY1,干物质最小值,dry_matter_min,干物质下限|最低干物质含量,饲料中干物质含量的最低标准值。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rDRY2,干物质最大值,dry_matter_max,干物质上限|最高干物质含量,饲料中干物质含量的最高标准值。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rDRY3,干物质,dry,干物质含量,饲料去除水分后的物质含量百分比。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rFEED5,饲喂次数,feed_num,喂养次数|每天饲喂次数,每日饲喂的频次，通常为2次或3次。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rPLAN1,计划天数,plan_days,饲养天数|阶段天数,配方或生长阶段的计划饲养天数。,待确认,牧场业务系统,配方/生长阶段维度表,dbt,dbt,2026年3月27日
rATTR1,颜色标识,color,颜色|配色,配方的颜色标识，用于在系统中直观区分不同配方。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rATTR2,是否启用,enable,启用状态|有效状态,记录是否启用，'1'表示启用，'0'表示禁用。,待确认,牧场业务系统,配方/商品维度表,dbt,dbt,2026年3月27日
rATTR3,测量值,measure,度量值|测量参数,配方的测量参数值。,待确认,牧场业务系统,配方维度表,dbt,dbt,2026年3月27日
rATTR4,排序,sort,排序号|排序字段,用于记录排序顺序的字段。,待确认,牧场业务系统,配方/商品维度表,dbt,dbt,2026年3月27日
rATTR5,规格,spec,规格参数|商品规格,商品的规格属性，如尺寸、包装等。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rUNIT1,件单位,piece_unit,件数单位|计件单位,商品按件计数的单位。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rUNIT2,数量单位,quantity_unit,计量单位|数量单位,商品数量的计量单位，如吨、千克等。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rUNIT3,单位重量,unitweight,单重|单位重量,单个SKU的单位重量标准。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rPRICE1,单价,uprice,单位价格|商品单价,商品的单位价格。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rALERT1,是否预警,is_alert_enabled,预警开关|是否开启预警,是否启用价格或库存预警的标识。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rALLOW1,允许误差重量,allow_offset_weight,允差重量|允许偏差,称重时允许的误差范围。,待确认,牧场业务系统,商品维度表,dbt,dbt,2026年3月27日
rSTALL2,栏舍ID,stall_id,栏位ID|牛舍ID,栏舍的唯一标识符。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rSTALL3,栏舍名称,stall_name,栏位名称|牛舍名称,栏舍的名称，用于标识和区分不同栏位。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rSTALL4,排序名称,sort_order,名称排序|排序依据,栏舍按照名称排序的字段。,待确认,牧场业务系统,栏舍维度表,dbt,dbt,2026年3月27日
rBATCH1,批次ID,batch_id,批次标识|批次编号,采购批次的唯一标识符。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
rBATCH2,批次号,batch_no,批次编码|批次单号,采购批次的编号，通常对应采购单号。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
rBATCH3,批次数量,batch_quantity,采购批次数量,采购批次中的牛只数量。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
rBATCH4,批次采购日期,batch_purchase_date,批次采购时间,批次的采购入库日期。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
rBATCH5,总采购成本,total_purchase_cost,采购总成本,批次的总采购成本。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
rBATCH6,批次状态,batch_status,批次状态标识,批次的当前状态，如进行中、已完成等。,待确认,牧场业务系统,批次维度表,dbt,dbt,2026年3月27日
